REF_DATE,GEO,NOC21_5,Title,VALUE
2021,Canada,65312,"Janitors, caretakers and heavy-duty cleaners",111550
2021,Canada,65320,"Dry cleaning, laundry and related occupations",17505
2021,Canada,65329,Other service support occupations,24010
2021,Canada,70010,Construction managers,95785
2021,Canada,70011,Home building and renovation managers,56365
2021,Canada,70012,Facility operation and maintenance managers,75935
2021,Canada,70020,Managers in transportation,40295
2021,Canada,70021,Postal and courier services managers,4170
2021,Canada,72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",13735
2021,Canada,72011,"Contractors and supervisors, electrical trades and telecommunications occupations",23580
2021,Canada,72012,"Contractors and supervisors, pipefitting trades",8095
2021,Canada,72013,"Contractors and supervisors, carpentry trades",15655
2021,Canada,72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",47735
2021,Canada,72020,"Contractors and supervisors, mechanic trades",26045
2021,Canada,72021,"Contractors and supervisors, heavy equipment operator crews",43425
2021,Canada,72022,"Supervisors, printing and related occupations",2075
2021,Canada,72023,"Supervisors, railway transport operations",1260
2021,Canada,72024,"Supervisors, motor transport and other ground transit operators",10705
2021,Canada,72025,"Supervisors, mail and message distribution occupations",8170
2021,Canada,72100,Machinists and machining and tooling inspectors,37145
2021,Canada,72101,Tool and die makers,9870
2021,Canada,72102,Sheet metal workers,19155
2021,Canada,72103,Boilermakers,3815
2021,Canada,72104,Structural metal and platework fabricators and fitters,6585
2021,Canada,72105,Ironworkers,13290
2021,Canada,72106,Welders and related machine operators,90560
2021,Canada,72200,Electricians (except industrial and power system),99690
2021,Canada,72201,Industrial electricians,21525
2021,Canada,72202,Power system electricians,4995
2021,Canada,72203,Electrical power line and cable workers,12950
2021,Canada,72204,Telecommunications line and cable installers and repairers,9905
2021,Canada,72205,Telecommunications equipment installation and cable television service technicians,20765
2021,Canada,72300,Plumbers,53380
2021,Canada,72301,"Steamfitters, pipefitters and sprinkler system installers",21025
2021,Canada,72302,Gas fitters,6905
2021,Canada,72310,Carpenters,165965
2021,Canada,72311,Cabinetmakers,16765
2021,Canada,72320,Bricklayers,17325
2021,Canada,72321,Insulators,9195
2021,Canada,72400,Construction millwrights and industrial mechanics,64690
2021,Canada,72401,Heavy-duty equipment mechanics,44830
2021,Canada,72402,"Heating, refrigeration and air conditioning mechanics",30830
2021,Canada,72403,Railway carmen/women,2440
2021,Canada,72404,Aircraft mechanics and aircraft inspectors,18165
2021,Canada,72405,Machine fitters,2065
2021,Canada,72406,Elevator constructors and mechanics,5945
2021,Canada,72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",154130
2021,Canada,72411,"Auto body collision, refinishing and glass technicians and damage repair estimators",30125
2021,Canada,72420,Oil and solid fuel heating mechanics,1605
2021,Canada,72421,Appliance servicers and repairers,5860
2021,Canada,72422,Electrical mechanics,10450
2021,Canada,72423,"Motorcycle, all-terrain vehicle and other related mechanics",6890
2021,Canada,72429,Other small engine and small equipment repairers,2730
2021,Canada,72500,Crane operators,13625
2021,Canada,72501,Water well drillers,605
2021,Canada,72600,"Air pilots, flight engineers and flying instructors",16615
2021,Canada,72601,Air traffic controllers and related occupations,4475
2021,Canada,72602,"Deck officers, water transport",5450
2021,Canada,72603,"Engineer officers, water transport",1360
2021,Canada,72604,Railway traffic controllers and marine traffic regulators,1365
